id,value
id_0,5.174960398984753
id_1,18.30621425352784
id_2,20.491218094180553
id_3,11.52394286980536
id_4,26.616056752306108
id_5,20.531348081761195
id_6,21.906551018797405
id_7,31.736468747068827
id_8,13.391674055111658
id_9,64.45646650291953
id_10,20.26456883615947
id_11,15.358576077361207
id_12,68.58947276926725
id_13,48.42811374745714
id_14,18.70233382419314
id_15,10.18859573746667
id_16,30.740362859820426
id_17,71.13221776355115
id_18,-4.130517391262472
id_19,18.235694016428667
id_20,38.57892227500774
id_21,71.31151972531327
id_22,7.410348162634065
id_23,18.717955330321423
id_24,14.93725026008455
id_25,36.71973669470531
id_26,17.961697005662675
id_27,75.7894628721054
id_28,12.30931024861448
id_29,56.29535173964959
id_30,25.11316086566147
id_31,4.6102486740939845
id_32,2.4837705545150826
id_33,24.759422261321294
id_34,30.48028046559118
id_35,38.46393074642668
id_36,44.20231060933004
id_37,30.086836019865974
id_38,40.47367501574008
id_39,29.226479902317358
id_40,5.606456054343923
id_41,38.666016078789646
id_42,34.610213431877185
id_43,48.3896975073848
id_44,14.757247666944169
id_45,34.466820110872106
id_46,27.483106874184323
id_47,12.000879378154032
id_48,21.378036151603723
id_49,28.544403091663263
id_50,20.165513818411593
id_51,10.796678149746517
id_52,22.17103575575014
id_53,53.44626310935223
id_54,12.219581121610027
id_55,43.30096845517153
id_56,32.18233510328541
id_57,22.56721751457077
id_58,56.739514165547085
id_59,20.74505294529544
id_60,15.028854557473279
id_61,39.8553015903851
id_62,12.97534068072828
id_63,51.74165959283009
id_64,18.78336963253987
id_65,12.3487528427777
id_66,15.633623653541884
id_67,-0.05887147068500198
id_68,41.50801107307596
id_69,31.548747530655998
id_70,18.604251157547058
id_71,37.47681972488066
id_72,56.520390657623
id_73,6.587877193521956
id_74,12.22933973743499
id_75,5.203696404134668
id_76,47.92737510380054
id_77,13.020705685594653
id_78,17.110301693903608
id_79,20.60323453100203
id_80,21.2844815607846
id_81,38.6929352905118
id_82,30.020716675725847
id_83,88.76740666723546
id_84,35.98470023966827
id_85,26.756913553477155
id_86,23.963516843564427
id_87,32.747242828083074
id_88,22.189043755319943
id_89,20.992158853626513
id_90,29.555994316645442
id_91,40.99216886651777
id_92,8.625117809911554
id_93,32.3214718088779
id_94,46.598044365367635
id_95,22.884070826723516
id_96,31.51812972825164
id_97,11.19823347976612
id_98,28.527436642529608
id_99,0.2911506800896291
id_100,17.966961079539686
id_101,27.12416392947015
id_102,11.39823278065283
id_103,16.426426865673516
id_104,23.425261046922184
id_105,40.616082670568396
id_106,25.86412502656035
id_107,5.4227369516723565
id_108,10.794921122256145
id_109,72.86213692992126
id_110,48.02283705948134
id_111,15.746808276902964
id_112,24.670410614177968
id_113,12.827793326536735
id_114,10.158057570240524
id_115,27.269223342020968
id_116,29.208738577932447
id_117,8.835339619930725
id_118,20.05108813712973
id_119,20.21233374376425
id_120,79.90600929870558
id_121,18.0616142882636
id_122,30.542809341304324
id_123,25.980792377728037
id_124,5.21257726816474
id_125,30.35569730585618
id_126,7.768322888914639
id_127,15.328268255393283
id_128,22.666365717697946
id_129,62.742054211090064
id_130,18.950780367988013
id_131,19.076355630838542
id_132,61.37157409163707
id_133,15.884562052629711
id_134,13.409418077705542
id_135,0.8487724836112767
id_136,7.834996717304147
id_137,57.012829011796775
id_138,25.60799675181385
id_139,4.961704729242067
id_140,36.41487903906274
id_141,28.790006721975917
id_142,49.19412096197631
id_143,40.306869855734476
id_144,13.31618059398264
id_145,27.66101187522914
id_146,17.158027524366723
id_147,49.68726256929678
id_148,23.030272291604774
id_149,39.24093652484272
id_150,13.196753889412555
id_151,5.948893701039436
id_152,25.821608976304248
id_153,8.258634214291634
id_154,19.146320517225583
id_155,43.1824865265167
id_156,6.717843578093028
id_157,33.869615246810625
id_158,15.369937846981887
id_159,16.93904497355193
id_160,37.88533679463486
id_161,19.202484541054396
id_162,9.059504715654718
id_163,10.283399610648502
id_164,48.672447125698284
id_165,30.587716213230845
id_166,2.4774098975321692
id_167,12.811603937805954
id_168,70.32478980976462
id_169,14.840967694067018
id_170,68.8655875667886
id_171,42.74199244486629
id_172,24.000261542920143
id_173,23.420724860321474
id_174,61.67212443568239
id_175,25.49420284505919
id_176,19.004809786869053
id_177,34.886682881896846
id_178,9.402313398379711
id_179,29.520011314408016
id_180,14.573965885700494
id_181,9.125563143203566
id_182,52.812583998131885
id_183,45.03953799438965
id_184,17.452434679183288
id_185,38.49393527971428
id_186,27.03891909264383
id_187,65.58170967424581
id_188,7.037306380769554
id_189,52.71447713411568
id_190,38.206459337049736
id_191,21.169801059557827
id_192,30.247556879488403
id_193,2.714422989716315
id_194,19.93293258764082
id_195,-3.4133323376039293
id_196,32.445999402813136
id_197,10.582973029979904
id_198,21.775225707258503
id_199,62.4652920656779
id_200,24.132943687316406
id_201,26.201239647400932
id_202,63.744477234402886
id_203,2.834297774128995
id_204,14.379246986978814
id_205,9.369850731753854
id_206,9.88116661359541
id_207,3.4949453589721386
id_208,122.60804937921777
id_209,21.083513014480573
id_210,17.532220599455105
id_211,20.183098344597013
id_212,36.393132212281834
id_213,34.93515120529069
id_214,18.830312661458613
id_215,38.344555522723255
id_216,77.91663413807038
id_217,1.795323550888206
id_218,13.44582793913578
id_219,36.13115559041214
id_220,15.150403498166332
id_221,12.941848334417891
id_222,113.12524093786394
id_223,15.224604677934359
id_224,14.824025968612126
id_225,59.26735368854046
id_226,10.583695290718431
id_227,20.993062563532202
id_228,9.78936588083035
id_229,4.771180008705983
id_230,47.927806904812854
id_231,12.399438394750991
id_232,48.14647656264414
id_233,40.466380396564155
id_234,16.94059027033295
id_235,41.26654448941876
id_236,69.02789203372905
id_237,40.346249244122404
id_238,14.313743982871124
id_239,15.770726634219798
